City,Country,IATA,Airport
Aberdeen,United States (South Dakota),ABR,Aberdeen Regional Airport
Akron/Canton,United States (Ohio),CAK,Akron-Canton Regional Airport
Albany,United States (Georgia),ABY,Southwest Georgia Regional Airport
Albany,United States (New York),ALB,Albany International Airport
Albuquerque,United States (New Mexico),ABQ,Albuquerque International Sunport
Alexandria,United States (Louisiana),AEX,Alexandria International Airport
Allentown,United States (Pennsylvania),ABE,Lehigh Valley International Airport
Alpena,United States (Michigan),APN,Alpena County Regional Airport
Appleton/Fox Cities,United States (Wisconsin),ATW,Appleton International Airport
Asheville,United States (North Carolina),AVL,Asheville Regional Airport
Aspen,United States (Colorado),ASE,Aspen-Pitkin County Airport
Atlanta,United States (Georgia),ATL,Hartsfield–Jackson Atlanta International Airport†
Augusta,United States (Georgia),AGS,Augusta Regional Airport
Austin,United States (Texas),AUS,Austin-Bergstrom International Airport
Baltimore (WAS)*,United States (Maryland),BWI,Baltimore/Washington International Airport
Bangor,United States (Maine),BGR,Bangor International Airport
Baton Rouge,United States (Louisiana),BTR,Baton Rouge Metropolitan Airport
Bemidji,United States (Minnesota),BJI,Bemidji Airport
Billings,United States (Montana),BIL,Billings Logan International Airport
Binghamton,United States (New York),BGM,Binghamton Airport
Birmingham,United States (Alabama),BHM,Birmingham-Shuttlesworth International Airport
Bismarck,United States (North Dakota),BIS,Bismarck Municipal Airport
Bloomington/Normal,United States (Illinois),BMI,Central Illinois Regional Airport
Boise,United States (Idaho),BOI,Boise Airport
Boston,United States (Massachusetts),BOS,Logan International Airport†
Bozeman,United States (Montana),BZN,Bozeman Yellowstone International Airport
Brainerd,United States (Minnesota),BRD,Brainerd Lakes Regional Airport
Bristol,United States (Tennessee),TRI,Tri-Cities Regional Airport
Brunswick,United States (Georgia),BQK,Brunswick Golden Isles Airport
Buffalo/Niagara Falls,United States (New York),BUF,Buffalo Niagara International Airport
Burbank,United States (California),BUR,Burbank Bob Hope Airport
Burlington,United States (Vermont),BTV,Burlington International Airport
Butte,United States (Montana),BTM,Bert Mooney Airport
Calgary,Canada (Alberta),YYC,Calgary International Airport
Casper,United States (Wyoming),CPR,Natrona County International Airport
Cedar City,United States (Utah),CDC,Cedar City Regional Airport
Cedar Rapids,United States (Iowa),CID,The Eastern Iowa Airport
Charleston,United States (South Carolina),CHS,Charleston International Airport
Charleston,United States (West Virginia),CRW,Yeager Airport
Charlotte,United States (North Carolina),CLT,Charlotte/Douglas International Airport
Charlottesville,United States (Virginia),CHO,Charlottesville-Albemarle Airport
Chattanooga,United States (Tennessee),CHA,Chattanooga Metropolitan Airport
Chicago (CHI)*,United States (Illinois),MDW,Chicago Midway International Airport
Chicago (CHI)*,United States (Illinois),ORD,O'Hare International Airport
Cincinnati/Covington,United States (Ohio/Kentucky),CVG,Cincinnati/Northern Kentucky International Airport†
Cleveland,United States (Ohio),CLE,Cleveland Hopkins International Airport
Cody,United States (Wyoming),COD,Yellowstone Regional Airport
Colorado Springs,United States (Colorado),COS,Colorado Springs Airport
Columbia,United States (South Carolina),CAE,Columbia Metropolitan Airport
Columbus,United States (Georgia),CSG,Columbus Airport
Columbus,United States (Mississippi),GTR,Golden Triangle Regional Airport
Columbus,United States (Ohio),CMH,John Glenn Columbus International Airport
Dallas,United States (Texas),DFW,Dallas-Fort Worth International Airport
Dayton,United States (Ohio),DAY,Dayton International Airport
Denver,United States (Colorado),DEN,Denver International Airport
Des Moines,United States (Iowa),DSM,Des Moines International Airport
Detroit,United States (Michigan),DTW,Detroit Metropolitan Wayne County Airport†
Dothan,United States (Alabama),DHN,Dothan Regional Airport
Duluth,United States (Minnesota),DLH,Duluth International Airport
Edmonton,Canada (Alberta),YEG,Edmonton International Airport
El Paso,United States (Texas),ELP,El Paso International Airport
Elko,United States (Nevada),EKO,Elko Regional Airport
Elmira/Corning,United States (New York),ELM,Elmira/Corning Regional Airport
Erie,United States (Pennsylvania),ERI,Erie International Airport
Escanaba,United States (Michigan),ESC,Delta County Airport
Eugene,United States (Oregon),EUG,Mahlon Sweet Field
Evansville/Owensboro,United States (Indiana),EVV,Evansville Regional Airport
Fargo,United States (North Dakota),FAR,Hector International Airport
Fayetteville/Springdale,United States (Arkansas),XNA,Northwest Arkansas Regional Airport
Fayetteville/Fort Bragg,United States (North Carolina),FAY,Fayetteville Regional Airport
Flint,United States (Michigan),FNT,Bishop International Airport
Fort Myers,United States (Florida),RSW,Southwest Florida International Airport
Fort Smith,United States (Arkansas),FSM,Fort Smith Regional Airport
Fort Wayne,United States (Indiana),FWA,Fort Wayne International Airport
Freeport,Bahamas (Grand Bahama),FPO,Grand Bahama International Airport
Fresno,United States (California),FAT,Fresno Yosemite International Airport
Gainesville,United States (Florida),GNV,Gainesville Regional Airport
